"Index", "Height(Inches)", "Weight(Pounds)"
129, 68.89415, 140.2402
130, 70.241, 133.9841
131, 68.26623, 132.5807
132, 71.23161, 130.6988
133, 69.09747, 115.5637
134, 64.39693, 123.7941
135, 71.09585, 128.1427
136, 68.21868, 135.9646
137, 65.91721, 116.6273
138, 67.4369, 126.8241
139, 73.90107, 151.3913
140, 69.98149, 130.4022
141, 69.51862, 136.2068
142, 65.18437, 113.3989
143, 68.00869, 125.3287
144, 68.3384, 127.5846
145, 65.18417, 107.1564
146, 68.26209, 116.4588
147, 68.56865, 133.8402
148, 64.49675, 112.8901
149, 68.71053, 130.7568
150, 68.89148, 137.7571
151, 69.54011, 125.4036
152, 67.39964, 138.4659
153, 66.47521, 120.8184
154, 66.01217, 140.1539
155, 72.44434, 136.7397
156, 64.12642, 106.1139
157, 70.98112, 158.9562
158, 67.50124, 108.7868
159, 72.01515, 138.7758
160, 65.31143, 115.9136
161, 67.07509, 146.2922
162, 64.39148, 109.8765
163, 69.37003, 139.0499
164, 68.37921, 119.9001
165, 65.31018, 128.3069
166, 67.1369, 127.2428
167, 68.39468, 115.2306
168, 66.2918, 124.7975
169, 67.1866, 126.9511
170, 65.99156, 111.2711
171, 69.43393, 122.6089
172, 67.97463, 124.2084
173, 67.76133, 124.6453
174, 65.27864, 119.5169
175, 73.83364, 139.2983
176, 66.81312, 104.8265
177, 66.89411, 123.0424
178, 65.73568, 118.8923
179, 65.98283, 121.4939
180, 66.58396, 119.2488
181, 67.11294, 135.0239
182, 65.87481, 116.228
183, 66.78067, 109.1731
184, 68.73577, 124.2237
185, 66.22666, 141.1645
186, 65.95968, 129.1501
187, 68.58372, 127.8693
188, 66.59347, 120.9244
189, 66.96574, 127.6466
190, 68.08015, 101.4693
191, 70.19025, 144.9927
192, 65.52149, 110.9523
193, 67.45905, 132.8625
194, 67.40985, 146.3385
195, 69.66158, 145.5894
196, 65.79799, 120.8431
197, 66.10558, 115.7813
198, 68.23987, 128.3019
199, 68.02403, 127.4718
200, 71.39044, 127.8761
201, 65.7316, 121.4997
202, 66.43358, 112.7148
203, 70.01309, 135.002
204, 69.48146, 128.6789
205, 68.62764, 124.4062
206, 68.36275, 140.026
207, 68.39028, 117.519
208, 68.77413, 143.8737
209, 69.9236, 141.1703
210, 71.55542, 155.9414
211, 68.44764, 134.0093
212, 66.71398, 130.0975
213, 66.68413, 106.2265
214, 67.93699, 112.0489
215, 68.89855, 136.1884
216, 67.29191, 131.236
217, 69.57212, 131.3231
218, 67.67479, 119.5261
219, 69.04155, 116.9965
220, 67.96765, 138.5255
221, 65.83982, 109.6518
222, 65.77288, 130.1569
223, 71.14106, 137.1114
224, 67.83055, 113.759
225, 65.0693, 114.9725
226, 69.70745, 127.7149
227, 69.92983, 121.9972
228, 66.11569, 117.9607
229, 68.61364, 127.7141
230, 68.9976, 117.9619
231, 66.79171, 125.1554
232, 68.02363, 141.1026
233, 69.67258, 145.4822
234, 71.82178, 116.065
235, 72.74676, 135.7458
236, 67.27951, 132.9248
237, 67.41015, 115.6622
238, 68.5315, 114.3184
239, 68.47126, 148.952
240, 68.51867, 142.1878
241, 63.72529, 134.104
242, 67.70483, 141.8926
243, 69.47115, 138.7444
244, 66.70198, 134.449
245, 65.23126, 117.0167
246, 69.89473, 115.6752
247, 69.83048, 134.7905
248, 65.3979, 120.5746
249, 68.32214, 120.0835
250, 65.93895, 84.3598
251, 70.09805, 138.9394
252, 66.05531, 143.5245
253, 68.23481, 123.1347
254, 65.21758, 115.5261
255, 69.16173, 120.9844
256, 67.60064, 120.6473
257, 67.28621, 124.0352
258, 66.84323, 117.2238
259, 68.08281, 127.9598
260, 66.56991, 116.7527
261, 70.16973, 121.9957
262, 67.85113, 123.9952
263, 66.62309, 108.855
264, 63.68816, 104.6574
265, 68.0356, 132.248
266, 66.941, 127.1834
267, 66.26292, 125.1209
268, 70.7301, 133.322
269, 70.70844, 122.3364
270, 73.26872, 130.2636
271, 63.79021, 116.7431
272, 67.84109, 125.8534
273, 67.78058, 100.627
274, 67.23901, 118.4945
275, 66.75701, 137.1255
276, 69.03098, 118.6991
277, 68.52652, 124.1641
278, 64.65419, 124.9442
279, 65.14295, 126.3889
280, 66.74124, 121.5255
281, 66.99923, 133.2951
282, 70.26611, 127.4072
283, 67.57666, 125.08
284, 66.30582, 102.8114
285, 68.90702, 134.2212
286, 65.60543, 100.9758
287, 68.00189, 145.8886
288, 69.93715, 155.3046
289, 70.1459, 138.7175
290, 66.66364, 116.2611
291, 69.40676, 120.6087
292, 66.80598, 114.4083
293, 67.70048, 133.3406
294, 69.13438, 92.74955
295, 67.53769, 131.7825
296, 65.77912, 118.3865
297, 66.25769, 131.1466
298, 67.39038, 130.2033
299, 64.94327, 129.1836
300, 69.25699, 143.1445
301, 69.07739, 138.7307
302, 69.64403, 130.9528
303, 69.07705, 124.3032
304, 68.01304, 135.3702
305, 68.85664, 124.1988
306, 63.19158, 111.2389
307, 65.57591, 129.4037
308, 69.12101, 127.7444
309, 69.78765, 121.3311
310, 67.48203, 118.2183
311, 69.08809, 123.3441
312, 68.5529, 151.9118
313, 68.21327, 115.3108
314, 67.1012, 122.3844
315, 71.23661, 129.2323
316, 69.11946, 138.2824
317, 65.49848, 144.0565
318, 66.58706, 120.8482
319, 67.99831, 113.3034
320, 72.57747, 149.3227
321, 67.97585, 130.6373
322, 66.62347, 122.387
323, 67.29574, 133.8677
324, 65.95951, 134.8336
325, 66.54011, 137.8363
326, 68.07723, 112.6812
327, 65.83291, 121.1964
328, 69.23721, 114.9262
329, 64.69413, 110.3762
330, 69.21372, 126.0337
331, 67.16792, 118.7008
332, 67.8467, 119.3108
333, 69.27389, 150.7397
334, 67.90547, 121.1142
335, 67.076, 118.4065
336, 70.01531, 142.759
337, 70.05454, 145.6305
338, 70.86714, 127.3425
339, 66.0586, 115.9678
340, 65.23745, 104.4441
341, 68.7413, 138.4905
342, 69.51946, 145.5049
343, 70.30764, 124.4065
344, 67.29982, 124.1866
345, 67.60582, 126.1659
346, 67.85566, 138.8125
347, 66.46536, 121.5515
348, 68.92071, 114.2555
349, 68.46886, 129.4022
350, 69.5193, 137.5583
351, 70.23956, 134.4996
352, 67.85651, 127.7103
353, 68.00435, 115.6709
354, 67.13983, 131.5906
355, 68.09931, 127.5839
356, 68.99077, 125.7211
357, 69.32618, 119.9885
358, 70.09286, 140.8676
359, 68.74304, 136.9164
360, 64.18633, 118.4759
361, 66.09074, 129.5516
362, 69.24418, 152.0714
363, 69.66512, 120.8646
364, 68.42721, 136.1027
365, 68.28613, 130.0611
366, 69.37684, 131.7743
367, 68.35315, 139.38
368, 72.32489, 168.229
369, 70.37159, 127.6446
370, 65.72927, 131.8008
371, 66.49627, 122.8561
372, 70.81339, 140.2133
373, 67.37579, 142.6929
374, 67.79709, 137.4299
375, 68.1607, 126.0392
376, 68.85782, 143.5985
377, 67.71342, 122.62
378, 64.66007, 108.6044
379, 65.73721, 100.6617
380, 68.42441, 116.1397
381, 68.88946, 140.5293
382, 68.27367, 125.6907
383, 69.18045, 134.3329
384, 72.60996, 136.4649
385, 66.04157, 127.8822
386, 69.2288, 123.1361
387, 68.87697, 116.3375
388, 66.46042, 124.5581
389, 69.30444, 125.7853
390, 67.58249, 107.5905
391, 69.41816, 143.0236
392, 67.46867, 118.7434
393, 66.44873, 118.9856
394, 68.76185, 131.8744
395, 63.76881, 119.3691
396, 69.03663, 126.1223
397, 66.48966, 126.6122
398, 66.74224, 113.5597
399, 67.69394, 115.8413
400, 66.69066, 130.2738
401, 67.02877, 125.4542
402, 65.91096, 117.1655
403, 70.0304, 137.3184
404, 69.26978, 149.4447
405, 70.07695, 151.0695
406, 64.90942, 116.9994
407, 69.68744, 138.1787
408, 67.56524, 127.621
409, 63.85529, 120.7514
410, 71.6189, 144.2537
411, 64.98993, 105.7939
412, 64.60759, 120.1567
413, 62.01666, 109.0848
414, 65.28516, 125.971
415, 67.70163, 110.2325
416, 70.85794, 134.4706
417, 68.17075, 115.5067
418, 67.45006, 125.1086
419, 71.04224, 116.4113
420, 67.83032, 133.3944
421, 67.15488, 108.7478
422, 68.30289, 134.3986
423, 65.41208, 131.2085
424, 68.66755, 130.8318
425, 70.06733, 127.0838
426, 69.13413, 119.4067
427, 67.02078, 105.5616
428, 65.52274, 134.4733
429, 70.19808, 132.6897
430, 67.66866, 126.058
431, 69.73257, 126.3532
432, 67.61719, 142.3603
433, 70.79589, 124.5873
434, 69.65804, 122.3604
435, 66.73277, 123.2298
436, 67.58008, 131.4049
437, 65.25317, 124.3037
438, 70.71387, 128.3836
439, 71.27374, 136.853
440, 66.55913, 118.0569
441, 68.04247, 121.4969
442, 68.11699, 119.2811
443, 71.2367, 126.5545
444, 66.92387, 129.2477
445, 71.10381, 134.7804
446, 69.41466, 146.0725
447, 69.16807, 162.4109
448, 68.57725, 130.1885
449, 69.60315, 132.1941
450, 69.05087, 127.4591
451, 68.28699, 125.3466
452, 69.25276, 134.7559
453, 68.23862, 121.9395
454, 67.6868, 125.6688
455, 68.84083, 145.956
456, 69.52061, 119.9207
457, 66.97668, 111.5093
458, 72.0053, 138.676
459, 67.44482, 135.0151
460, 66.06214, 116.509
461, 65.5747, 123.9575
462, 68.30171, 136.952
463, 71.02603, 153.0797
464, 70.76882, 126.357
465, 67.50812, 145.0614
466, 69.50936, 135.1739
467, 66.4455, 108.806
468, 68.5689, 110.5155
469, 67.01296, 138.2685
470, 68.70004, 119.5111
471, 68.23013, 115.3214
472, 70.40713, 132.3684
473, 65.69989, 93.99438
474, 65.7031, 127.4051
475, 68.48055, 134.3024
476, 66.62891, 124.9721
477, 66.84285, 124.072
478, 69.89734, 133.5476
479, 67.6543, 134.1509
480, 68.30917, 130.2489
481, 69.74848, 138.0935
482, 68.57906, 126.6064
483, 68.14477, 131.8076
484, 67.98093, 131.7363
485, 64.82535, 117.6261
486, 69.20785, 126.1943
487, 69.2656, 127.5132
488, 70.9403, 142.4785
489, 69.07826, 139.444
490, 66.20183, 110.3204
491, 71.05779, 131.9541
492, 68.99493, 129.2037
493, 70.96089, 124.3513
494, 66.02496, 126.5251
495, 69.8641, 149.2303
496, 66.82802, 142.1577
497, 69.09424, 127.1436
498, 66.81425, 122.3353
499, 67.13183, 112.6659
500, 64.57428, 134.2647
501, 68.68038, 120.6936
502, 67.53724, 115.783
503, 71.17732, 128.6855
504, 70.53514, 134.7611
505, 71.53411, 118.3419
506, 66.77301, 106.1557
507, 66.33636, 126.3823
508, 64.83095, 114.3716
509, 68.38247, 130.2787
510, 68.05038, 123.3066
511, 69.09149, 122.8571
512, 69.91046, 125.6932
513, 68.40737, 111.7247
514, 68.32559, 125.5516
515, 66.95555, 119.9702
516, 70.54816, 132.6043
517, 69.37805, 132.6738
518, 67.52012, 117.4521
519, 64.87142, 101.8549
520, 69.13396, 128.4418
521, 68.81192, 134.0414
522, 67.56446, 127.7511
523, 68.16772, 127.6172
524, 65.80687, 139.3971
525, 64.92276, 113.9381
526, 68.35584, 147.5188
527, 66.71546, 132.6523
528, 69.18196, 132.8139
529, 65.88795, 105.0942
530, 66.03733, 127.5187
531, 69.44194, 130.7305
532, 67.14847, 128.5815
533, 65.69442, 122.5699
534, 69.42723, 157.2961
535, 66.54503, 121.1097
536, 69.04469, 147.5061
537, 67.62036, 117.493
538, 69.59105, 132.4472
539, 68.12343, 118.1774
540, 71.22641, 123.7319
541, 66.43285, 130.365
542, 66.31808, 122.8882
543, 68.02724, 107.8693
544, 68.2876, 118.591
545, 66.91609, 125.6467
546, 71.77546, 148.6016
547, 66.04535, 150.279
548, 69.01455, 127.0678
549, 68.70744, 128.7122
550, 65.012, 118.4233
551, 66.05857, 125.3879
552, 71.16403, 149.2676
553, 67.55274, 107.3484
554, 68.83455, 133.6992
555, 68.11811, 124.8508
556, 67.90528, 112.7028
557, 67.64085, 127.8407
558, 69.78282, 134.1615
559, 67.99889, 138.6031
560, 69.41465, 126.044
561, 70.42989, 129.5856
562, 67.67519, 134.1054
563, 67.88036, 106.1251
564, 68.06905, 127.0561
565, 66.99435, 121.9241
566, 71.57689, 150.7365
567, 64.36564, 116.0061
568, 67.93011, 125.4748
569, 69.91863, 131.6099
570, 69.93864, 129.0696
571, 66.79766, 129.1117
572, 70.11119, 148.1624
573, 68.94814, 105.388
574, 68.02886, 110.5447
575, 69.36148, 118.6402
576, 68.44886, 122.8151
577, 65.70282, 124.887
578, 69.55674, 135.7695
579, 65.84635, 116.4563
580, 68.79983, 125.3617
581, 69.03835, 133.122
582, 67.36352, 138.3328
583, 70.35788, 124.4972
584, 69.88828, 136.7205
585, 65.15319, 115.0153
586, 69.40907, 132.6366
587, 68.50874, 143.1323
588, 65.71552, 134.7422
589, 63.98308, 122.6246
590, 70.07685, 153.5634
